    Mjd              err        Mag         err-         err+       LimitMag Filter imagename
    57478.543960     0.02083    14.10300    -0.01620     0.01620    18.18330 CLEAR data/J1555+1111_20160331_130318_Mar6vnxm_kait_clear_c.fit
    57481.541390     0.02083    14.11000    -0.01573     0.01573    18.32382 CLEAR data/J1555+1111_20160403_125936_Apr63nvt_kait_clear_c.fit
    57495.515880     0.02083    14.09400    -0.01024     0.01024    19.84902 CLEAR data/J1555+1111_20160417_122252_Apr6hneu_kait_clear_c.fit
    57498.511750     0.02083    14.02400    -0.00855     0.00855    19.44043 CLEAR data/J1555+1111_20160420_121655_Apr6kncb_kait_clear_c.fit
    57505.506740     0.02083    13.93600    -0.01534     0.01534    18.08926 CLEAR data/J1555+1111_20160427_120942_Apr6rmys_kait_clear_c.fit
    57508.503970     0.02083    13.89100    -0.01079     0.01079    18.56604 CLEAR data/J1555+1111_20160430_120543_Apr6umwx_kait_clear_c.fit
    57511.478850     0.02083    13.92000    -0.09765     0.09765    15.90135 CLEAR data/J1555+1111_20160503_112933_May63mgf_kait_clear_c.fit
    57517.477920     0.02083    13.79900    -0.01020     0.01020    19.90087 CLEAR data/J1555+1111_20160509_112812_May69mfo_kait_clear_c.fit
    57520.462770     0.02083    13.82400    -0.01022     0.01022    20.02511 CLEAR data/J1555+1111_20160512_110623_May6clvn_kait_clear_c.fit
    57523.469860     0.02083    13.82200    -0.00763     0.00763    19.92099 CLEAR data/J1555+1111_20160515_111636_May6fmaf_kait_clear_c.fit
    57533.440970     0.02083    13.84100    -0.01124     0.01124    19.23816 CLEAR data/J1555+1111_20160525_103500_May6plha_kait_clear_c.fit
    57537.429660     0.02083    13.87100    -0.01318     0.01318    19.63247 CLEAR data/J1555+1111_20160529_101843_May6tkzn_kait_clear_c.fit
    57540.422890     0.02083    13.88500    -0.00939     0.00939    19.75122 CLEAR data/J1555+1111_20160601_100858_Jun61kva_kait_clear_c.fit
